Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Dwyer McAllister Cottage,http://www.heritageireland.ie/en/midlands-eastcoast/dwyermcallistercottage,35340445325,-6.5648108,52.9619268999999,Wicklow,Donard,Ireland,"Historic Houses and Castle,Museums and Attraction"
Valentia Island - Kerry,https://www.discoverireland.ie/kerry,,-10.3624787374577,51.9057706613253,Kerry,,Republic of Ireland,"Restaurant,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cruising,Cycling,Fishing,Angling,Gardening,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Photography,Learning,Sailing,Swimming,Swimming Pools and Water Park,Venue,Walking,Historic Houses and Castle,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink,Local Produce,Pubs and Bar,Seafood"
The Wicklow Way,https://visitwicklow.ie/the-wicklow-way/,,-6.2683925,53.2773496,Dublin,Rathfarnham,Ireland,"Cycling,Walking,Natural Landscape"
The Táin Way,http://carlingfordandcooleypeninsula.ie/carlingford-activities/walking-trails/t%C3%A1in-way,+353(0)429373033,-6.39708,54.004607,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
"Walking - The Western Way, Galway",http://www.thewesternway.ie,+353(0)9541116,-9.048728,53.276473,Galway,Galway City,Republic of Ireland,"Walking,Natural Landscape"
The Barrow Way,https://carlowtourism.com/the-barrow-way,35345521240,-6.99618322113859,53.2219355188289,Kildare,,Republic of Ireland,"Walking,Natural Landscape"
Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,353494331942,-6.79266149999999,53.9189778,Cavan,Kingscourt,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Tipperary Heritage Way,http://www.irishtrails.ie/trail/tipperary-heritage-way/36/,3536255467,-7.88582982915318,52.516411290825,Tipperary,Tipperary Town,Republic of Ireland,"Walking,Natural Landscape"
The Mid Clare Way,https://www.sportireland.ie/outdoors/walking/trails/mid-clare-way,353656835912,-8.8990055,52.7606678,Clare,Newmarket,Ireland,"Walking,Natural Landscape"
The North Kerry Way,,+353(0)667121288,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,"Walking,Natural Landscape"
Bray to Greystones Walk,https://visitwicklow.ie/item/cliff-walk-bray-to-greystones/,35340469117,-6.043428,52.98086,Wicklow,Wicklow Town,Republic of Ireland,"Walking,Natural Landscape"
The South Leinster Way,http://www.irishtrails.ie/Trail/South-Leinster-Way/33/,,-6.92880990423212,52.6020792718812,Carlow,Borris,Republic of Ireland,"Walking,Natural Landscape"
Brandon Hill Loop,http://www.trailkilkenny.ie/activity-trail/walking-trails/brandon-hill/,+353(0)567763995,-6.9555078142223,52.5408705206418,Kilkenny,Graiguenamanagh,Republic of Ireland,"Walking,Natural Landscape"
Muckross Lake Loop and Torc Waterfall,https://www.killarneynationalpark.ie/explore/walking-hiking/walking-trails/torc/,,-9.5042922,52.0180827,Kerry,Killarney,Ireland,"Walking,National Park,National and Forest Park"
The Westmeath Way,https://www.visitwestmeath.ie/get-outdoors/walks-wilderness/the-westmeath-way/,,-7.31712,53.525,Westmeath,Kilbeggan,Republic of Ireland,"Walking,Natural Landscape"
Listowel River Walk,http://www.irishtrails.ie/Trail/Listowel-Village-Walks---River-Walk/609/,,-9.48392527411675,52.4471201192782,Kerry,Listowel,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Public Park,Nature and Wildlife,Public Sculpture"
Ballybunion 'Walking the Beach' Looped Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Beach-Walk/607/,+353(0)667121288,-9.67172770562618,52.5235018831357,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Ballybunion Cliff Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Cliff-Walk/604/,,-9.67172804668427,52.5235108653928,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Ballybunion Lahardane Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Lahardane-Hill-Walk/608/,+353(0)667121288,-9.65311650720219,52.5081260316832,Kerry,Ballybunion,Republic of Ireland,"Walking,Natural Landscape"
Glenbarrow - Old Mill Loop,https://www.coillte.ie/site/glenbarrow/,,-7.52564375817589,53.1497079212292,Laois,Clonaslee,Republic of Ireland,"Walking,Natural Landscape"
Rosses Point Coastal Walk,https://www.discoverireland.ie/sligo,,-8.55710770852084,54.3083457216238,Sligo,Rosses Point,Republic of Ireland,"Walking,Natural Landscape,Public Sculpture"
Balrath Wood,,+353(0)18358022,-6.95231592323352,53.7055705311591,Meath,Balrath,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Castlemorris - Fern Loop,http://www.irishtrails.ie/Trail/Castlemorris---Fern-loop-/119/,,-7.21281944384092,52.4839888651012,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
